url,name,ingredient
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

","3 lb. boneless stewing beef, cut into 1-inch  cubes"
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

",1/3 cup all-purpose flour
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

","Salt and freshly ground pepper, to taste"
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

",3 Tbs. olive oil
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

",1 1/2 cups red wine
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

","1 large yellow onion, finely chopped"
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

","2 garlic cloves, crushed"
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

","2 carrots, peeled and cut into 1/2-inch pieces"
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

","2 celery stalks, cut into 1/2-inch pieces"
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

","1/2 lb. new potatoes, cut into 1/2-inch pieces"
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

",1 Tbs. tomato paste
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

",1 1/2 cups beef stock
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,"


20-Minute Beef Stew





(5)

",3 fresh thyme sprigs
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,"


8-Hour Smoked Brisket

","1 whole untrimmed (packer-cut) beef brisket, 12 to 14 lb. (5.5 to
  6.5 kg)"
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,"


8-Hour Smoked Brisket

",1 cup (6 oz./185 g) Texas BBQ Dry Rub
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,"


8-Hour Smoked Brisket

",BBQ Mop Sauce
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,"


8-Hour Smoked Brisket

","Spicy Texas BBQ Sauce, warmed"
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,"


8-Hour Smoked Brisket

",Texas BBQ Dry Rub >
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,"


8-Hour Smoked Brisket

",BBQ Mop Sauce >
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,"


8-Hour Smoked Brisket

",Spicy Texas BBQ Sauce >
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

",1 lb. (500 g) ground beef
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

",1 lb. (500 g) ground pork
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

",1/2 cup (2 oz./60 g) dried bread crumbs
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

",3 eggs
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

","1 Tbs. chopped fresh flat-leaf parsley, plus more for garnish"
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

","1 Tbs. chopped fresh oregano, plus more for garnish"
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

","4 garlic cloves, minced"
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

",1 Tbs. plus 1 tsp. smoked paprika
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

",Kosher salt and freshly ground pepper
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

",2 Tbs. olive oil
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

","1 yellow onion, finely chopped"
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

",1 tsp. anchovy paste
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

",1 tsp. sugar
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

",1/4 cup (2 fl. oz./60 ml) sherry vinegar
https://www.williams-sonoma.com/recipe/albondigas.html,"


Albóndigas

",1 can (28 oz./875 g) crushed tomatoes
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,"


Ale-Braised Short Ribs





(2)

","4 to 5 lb. bone-in beef short ribs, cut into 3-inch pieces"
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,"


Ale-Braised Short Ribs





(2)

","Salt and freshly ground pepper, to taste"
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,"


Ale-Braised Short Ribs





(2)

","2 yellow onions, thinly sliced"
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,"


Ale-Braised Short Ribs





(2)

","3 garlic cloves, sliced"
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,"


Ale-Braised Short Ribs





(2)

","1 butternut squash, about 2 lb. total, peeled and cut into chunks"
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,"


Ale-Braised Short Ribs





(2)

","1 can (14 1/2 oz.) diced plum tomatoes, with juice"
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,"


Ale-Braised Short Ribs





(2)

",1 bottle (12 fl. oz.) ale or dark beer
